anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Doku Tenshi no Shippo,2485,Special,4,6.36,6861,9848,588,2,2005-01-01T00:00:00+00:00,2005-02-26T00:00:00+00:00,9 min per ep,Tenshi no Shippo omake.
Rumiko Takahashi Anthology,2486,TV,13,7.17,3001,6417,1619,3,2003-07-06T00:00:00+00:00,2003-09-28T00:00:00+00:00,25 min per ep,"Rumic World TV (2003) consists of thirteen independent series based on short stories from 1987-2000 by Takahashi Rumiko. The episode order is not sorted based on the year the story was written. For example, the first episode ""Tragedy of P""'s story was written in 1991 while the last episode ""Senmuno inu""'s story was written in 1994. (Source: AnimeNfo)"
Kyouryuu Boukenki Jura Tripper,2487,TV,39,6.66,5291,10082,426,8,1995-04-02T00:00:00+00:00,1995-12-24T00:00:00+00:00,25 min per ep,"On a school yachting trip, fifteen children of various ages are mysteriously transported to another world where dinosaurs still roam. While attempting to return home, they encounter talking dinosaurs, revolutionaries, pirates, a princess and primitive scientists. These unlikely allies help them escape from soldiers, bandits, vicious dinosaurs, and fanatical priests. Aggression between the two oldest boys leads to a split in ranks, and a sneaky double cross plot. Unlikely romances bloom in this tense atmosphere, and the group learns that each has strengths that can help them get home, if they work together. Losely based on the book Deux ans De Vacances, by Jules Verne from 1888. (Source: ANN)"
Mei to Koneko Bus,2488,Special,1,7.3,2411,4179,6698,20,2002-10-01T00:00:00+00:00,,14 min,"This is a short film about 14 minutes long, which was shown for a limited time only at the Ghibli Museum. It tells the story of Mei and her friend the kittenbus (the child of the original catbus from My Neighbor Totoro). Mei is just small enough to ride in the kittenbus, which is only big enough to stir up dust devils, rather than making whole fields of rice sway in its breeze. One night they have an adventure in which they fly into the forest with many other cat-based vehicles, including many buses and trains. There they meet Totoro and many similar spirits, all heading for a gigantic catliner. This liner cruises off into the sky and the kittenbus takes Mei home. (Source: AniDB)"
Onegai My Melody,2489,TV,52,7.17,2995,5121,2750,117,2005-04-03T00:00:00+00:00,2006-03-26T00:00:00+00:00,24 min per ep,"My Melody arrives on Earth much to the surprise of her rival Kuromi. Together with one of the junior high school students, Yumeno Uta, they decide to protect the dreams of the people with the help of magic."
One Piece: Mezase! Kaizoku Yakyuu Ou,2490,Movie,1,7.03,3643,3271,16074,13,2004-03-06T00:00:00+00:00,,5 min,Luffy and crew takes on Arlong's crew in baseball. Announced by Bon Clay and Buggy. (Source: ANN)
Touch 3: Kimi ga Toorisugita Ato ni - Don't Pass Me By,2493,Movie,1,6.67,5237,9644,691,0,1987-04-11T00:00:00+00:00,,1 hr 23 min,"Compilation movie of the third year of the Touch timeline. Contain many important plot differences, added scenes and the complete removal of an important character. (Source: AniDB)"
Goshuushou-sama Ninomiya-kun,2494,TV,12,6.69,5154,1732,44942,156,2007-10-05T00:00:00+00:00,2007-12-21T00:00:00+00:00,24 min per ep,"Shungo Ninomiya is just an ordinary, run-of-the-mill high school student who lives at home with his older sister Ryoko—at least when she's not away doing her job as a mercenary. However, Shungo's life ceases to be normal the moment a cute girl named Mayu Tsukimura descends into the middle of his school's campus in a military-grade helicopter. It turns out Ryoko sent this girl, along with her older brother Mikihiro, to live at the Ninomiya household. But the newly-arrived siblings are a little special: Mayu is, in fact, a succubus and her brother, an incubus! And as if the circumstances are not problematic enough, Mayu is crippled with androphobia—the fear of men—and it's up to Shungo to help her overcome this at the behest of his sister. Ryoko plans to force Mayu to be closer to Shungo, and to do this, she’ll employ some questionable methods such as having them share the same bed and even take baths together. The situation further complicates when student council president Reika Houjou arrives as the new maid of the Ninomiya family, and she will stop at nothing to thwart Shungo and Mayu’s sexually-geared training. With the sudden arrival of all these oddities, Shungo's ordinary life is about to be thrown into utter turmoil. [Written by MAL Rewrite]"
Chance Triangle Session,2495,TV,13,6.51,6087,7020,1638,12,2001-05-21T00:00:00+00:00,2001-08-27T00:00:00+00:00,24 min per ep,"This anime is based on a 1999 radio drama about three very different girls: Akari, Yuki and Nozomi; going to see the concert of top pop idol Reika and by going to see this concert their lives are greatly influenced by it. Akari was raised in a very religious background, she is bright and cheerful and a big Reika fan. Yuki is an independent girl who ran away from her home in Hakodate. She is working in the concert hall of Reika's performance. Nozomi is the daughter from a wealthy family in Kobe. She's got one of the VIP seats at the concert. The three girls are so inspired by Reika's performance, that they all enroll in the Akiba music school and endeavor to become pop idols themselves. (Source: AnimeNfo)"
Shin Cutey Honey,2497,OVA,8,6.63,5431,5708,2849,28,1994-04-21T00:00:00+00:00,1995-11-21T00:00:00+00:00,26 min per ep,"Cosplay City is in danger when the evil Dolmeck shows up. Commanding his army of monsters, he plans on destroying everything. Only one person can stop this: Cutey Honey. After she is released from her dormancy, Honey Kisaragi becomes the multi-transformational android Cutey Honey. However, the least is expected when Honey is faced with an old enemy from the past: Panther Zora. (Source: AniDB)"
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,2498,Movie,1,7.57,1396,4640,6945,13,1995-03-04T00:00:00+00:00,,40 min,"After losing the titanic match against Kainan High, Team Shohoku and a newly shaven Hanamichi Sakuragi are challenged to an exhibition match by virtual basketball unknowns Ryoukufu High. Coach Anzai sees this as an opportunity for Shohoku to regain their confidence, but Ryoukufu are revealed to have a newly assembled championship calibre lineup and may give Sakuragi & Co their toughest test yet. (Source: ANN)"
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,2499,Movie,1,7.66,1163,4619,6854,11,1995-07-15T00:00:00+00:00,,40 min,"Ichiro Mizusawa, a player from Rukawa's old junior high school, Tomigoaka, is diagnosed with a crippling leg condition and wants to play one last game with Rukawa. Hanamichi sets out to help the boy and fulfill his wish. (Source: ANN)"
The Cockpit,2500,OVA,3,7.21,2827,5141,4369,36,1993-10-22T00:00:00+00:00,1994-01-21T00:00:00+00:00,23 min per ep,"1. Slipstream About a Luftwaffe pilot who must choose between his duty to his country: to guard a bomber loaded with Germany's final hope of victory... the world's first atomic bomb... or his duty to the world: to let it fall in flames to enemy Spitfires and be a footnote in history. Of course, things are complicated by the plane's other cargo... the woman he loves. 2. Sonic Boom Squadron Near the end of the war, Japan has implemented a new weapon -- a human-piloted rocket-propelled flying bomb. Aboard a bomber carrying one of these, young Ensign Nogami awaits his chance to die as a ""cherry blossom"", a suicide pilot. In a few hours, he will die. The date of his death is set: August 6, 1945. 3. Knight of the Iron Dragon Two soldiers attempt to reach an air base in order to fulfill a promise despite the fact that it might have been rendered moot in the reality of war. (Source: ANN)"
Papuwa,2501,TV,26,6.61,5539,10091,406,10,2003-09-30T00:00:00+00:00,2004-03-30T00:00:00+00:00,25 min per ep,"In this sequel series, events continue four years after they left off in the first series. Papuwa-kun is a mysterious boy who lives on a new tropical island full of the same crazy creatures. Along with his maid, Liquid, and his new amnestic friend, ""Rotarou"", they lead nonsensical adventures as they try to evade and confuse the Ganma Army, Special Corps, and even the Shinsengumi from discovering Rotarou's real secret and taking him away. (Source: ANN)"
Nangoku Shounen Papuwa-kun,2503,TV,42,6.18,7789,11613,136,0,1992-10-10T00:00:00+00:00,1993-10-02T00:00:00+00:00,25 min per ep,"Papuwa-kun is a young boy living a quiet life with his dog, Chappy, on a small island located somewhere in South Pacific, when Shintaro, who is being pursued by gangsters, invades their happy existence. Chappi takes Shintaro's precious Jewel, thereby making the two main characters lifelong rivals. Together they experience a series of bizarre adventures and situations. (Source: AnimeNfo)"
Ringetsu The Animation,2505,OVA,3,6.66,,6779,1985,14,2006-07-25T00:00:00+00:00,2006-09-25T00:00:00+00:00,27 min per ep,"Long time ago, the Rindo family was cursed by a monster. Since then, new born babies have been girls. To break the curse, they had to marry persons of the Higetsu family who have strong spiritual power, and have to bear a child by the next red moon. Now, the curse befalls to Rindo Naoto. In order to break the curse, he has to beget a child with one of four sisters of the Higetsus. (Source: AnimeNfo)"
Imouto,2506,OVA,1,5.99,,7216,1711,14,2006-04-14T00:00:00+00:00,,28 min,"Yoshugara Hikaru and his little sister, Mioto, are childhood friends of Sugihara Hakuro, and Hakuro's little sister, Akimi. Although Mioto and Hakuro love each other, Hikaru is also secretly in love with Mioto. One day, Akimi walks into Hikaru’s room whilst he was playing with himself while spying on Mioto and Hakuro. Akimi demands that Hikaru finds a way to break-up their sibling as Akimi also loves her brother. Hikaru refuses her but Akimi threatens to reveal his shameful act. Hikaru loses his temper and rapes her. Horrified by what he had done, Hikaru eventually agrees to cooperate with Akimi on condition that his indiscretions be kept secret. (Source: AnimeNfo)"
Tsuma Tsuma,2507,OVA,2,6.34,,7618,1521,8,2005-07-29T00:00:00+00:00,2005-09-30T00:00:00+00:00,28 min per ep,"Sakuraba Kotaro succeeded to a little grocery store from his dead father. With help of Nagisha, his mother-in-law, and Nagisa, his sister, he managed to keep the store. One day, a big supermarket, Kaneyu, urged him to deliver the shop. The man in charge of Kaneyu was his brother who had run away from home giving up his father's business. (Source: AnimeNfo)"
Genshiken 2,2508,TV,12,7.76,925,1938,41213,195,2007-10-10T00:00:00+00:00,2007-12-26T00:00:00+00:00,24 min per ep,"The Society for the Study of Modern Visual Culture, otherwise known as Genshiken, is now under the charge of a more confident Sasahara. Things have changed in between semesters, and the otaku club now has a new otaku-hating member named Ogiue. Sasahara's initial goal of starting a doujin circle and selling those fan-made magazines at the next Comic Festival becomes a reality, but reality is a cruel master... who apparently crossplays. Afterward, the club is abuzz with talk about Tanaka and Ohno's relationship, which takes a hesitant step forward. (Source: Media Blasters)"
Sengoku Majin Goushougun,2510,TV,26,6.54,5943,8963,478,3,1981-07-03T00:00:00+00:00,1981-12-28T00:00:00+00:00,24 min per ep,"A meteor strikes the Earth and is found to emanate a powerful new energy called Beamler, which is used to power a battle robot, GoShogun, and a teleporting fortress, Good Thunder. The Docougar Crime Syndicate, lead by crime lord Neo Neros, try to steal the secret of the energy from the inventor of GoShogun, but he kills himself rather than let them acquire it. His son is targeted by Neo Neros next, but he is taken in by the crew aboard Good Thunder, who travel the world fighting NeoNeros's forces with GoShogun. (Source: Wikipedia)"
Sengoku Majin Goushougun: Toki no Etranger,2511,Movie,1,6.68,5212,8786,808,13,1985-04-27T00:00:00+00:00,,1 hr 28 min,"Remy Shimoda is in a hurry. She's on her way to a reunion with the other members of the Go Shogun team, and she's late. A police action with some robbers gets in her way, so she runs the robbers off the road. Her vision blurs and she gets into an accident. The movie splits into two with one plot following Remy's slow decline at the hospital with the Go Shogun members and former enemies at her side, and her experience in a strange city where she, and the rest of the team have their deaths foretold. Remy, herself, is plagued by visions of her death, and visitations from a threatening girl and her panther-like cat. The temple at the center of the city is the key, so the team sets out to battle their way into it. Based on the giant robot series ""Go Shogun"", this is a story focusing on Remy, the female member of the team. (Source: AniDB)"
Detective Conan OVA 02: 16 Suspects,2512,OVA,1,7.32,2293,4509,7812,10,2002-01-01T00:00:00+00:00,,25 min,"Conan Edogawa and the rest of the gang are invited to Inspector Ninzaburou Shiratori's villa for a small gathering. The party's highlight is Shiratori's prized wine collection—including his most expensive vintage—and a bottle from it will be served for the evening. However, just as this wine is to be brought out, Shiratori finds the bottle smashed on the floor—and the culprit can only be among the 16 people present in the gathering. [Written by MAL Rewrite]"
Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,2513,OVA,1,7.19,2931,4648,7188,1,2003-01-01T00:00:00+00:00,,25 min,"Conan and Ran are visiting Heiji and Kazuha in Osaka when the four come across a trio of kids while touring the city. These children, who look eerily similar to the Detective Boys but with different personalities, are looking for their friend who has gone missing—and the two young detectives agree to help find the vanished boy. [Written by MAL Rewrite]"
Detective Conan OVA 04: Conan and Kid and Crystal Mother,2514,OVA,1,7.5,1622,4439,8057,3,2004-01-01T00:00:00+00:00,,25 min,"Once again, Kaitou Kid has a target in mind: the Crystal Mother, Europe's largest topaz owned by Queen Selizabeth of the Principality of Ingram. He intends to steal this jewel while the Queen is stuck on a train from Tokyo to Osaka. However, Kid's abilities are put to the test, as the Queen has already concealed the gem somewhere aboard the train. Conan Edogawa, who is among train's passengers, suspects an attack from the phantom thief and begins investigating on his own, while Inspector Ginzou Nakamori is ready for a new confrontation against the elusive jewelry robber. [Written by MAL Rewrite]"
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,2515,OVA,1,7.24,2684,4796,6420,3,2005-01-01T00:00:00+00:00,,23 min,"Conan Edogawa and his classmates are assigned to do a class report about a small business of their choice. After discarding other possible topics, the Detective Boys concludes that it's a perfect opportunity to find out more about Detective Kogorou Mouri's job. Conan's friends refuse to settle for a simple interview though, as they want to experience first-hand all the details of his work. Thus, they, along with a reluctant Conan and Ai Haibara, decide to tail the renowned detective for a day. However, the kids soon get involved in a grim situation when Kogorou's current case takes an unexpected and dangerous turn. [Written by MAL Rewrite]"
Eikoku Koi Monogatari Emma: Intermission,2517,Special,1,7.04,3616,7003,2095,5,2007-04-21T00:00:00+00:00,,24 min,This special is a recap of the first season of Eikoku Koi Monogatari Emma: Intermission as well as a preview of the second season Eikoku Koi Monogatari Emma: Molders Hen.
Masuda Kousuke Gekijou Gag Manga Biyori 2,2518,TV,12,7.22,2792,8474,1193,0,2006-08-05T00:00:00+00:00,2006-10-21T00:00:00+00:00,5 min per ep,"Gyagu Manga Biyori is hyperactive, random, and nonsensical, revolving around various plots and characters throughout the series. It makes absolutely no sense. The 1st episode is about stickers included in snacks (Source: ANN)"
Dragon Ball Specials,2520,Special,2,6.72,4992,3430,13531,27,1988-06-08T00:00:00+00:00,,12 min per ep,"Specials included with the original series. Goku no Koutsuuanzen (Goku's Traffic Safety) Goku is heading to West City to attend Bulma's birthday party, and on the way he ends up learning the rules for getting through traffic. The movie was for children to watch so it would teach them how to get across a pedestrian crossing. Goku no Shouboutai (Goku's Fire Brigade) An episode for kids where Goku and the others work for the Fire brigade and explain how avoid problems with fire."
Haja Kyosei G Dangaiou,2521,TV,13,5.4,10658,8761,621,3,2001-04-05T00:00:00+00:00,2001-07-05T00:00:00+00:00,23 min per ep,"A mysterious explosion on Futagami Island begins a new chapter in the Dangaioh mythos! Led by the evil Professor Katou, a band of warriors calling themselves the ""Tartarus Knights"" have begun their campaign to lay waste to the world by way of a small research station on Futagami Island. Katou's victory seems almost certain until he encounters an advanced fortress guarding the island. From it, a group of three humanoid robots are launched—Dangaioh! (Source: AniDB)"
Rakushou! Hyper Doll,2522,OVA,2,5.7,9757,9285,879,1,1995-09-25T00:00:00+00:00,1995-11-25T00:00:00+00:00,27 min per ep,"Mew and Mica are alien androids sent by their boss to defend the Earth. Unfortunately for our planet, they are the laziest superheroines you will ever meet. Now most superheroes would drop whatever they're doing, transform, and proceed to kick monsters' butts... but these two would do no such thing. Mew and Mica just can't let their duties interfere with their ice cream, arguments, or whatever activities they happen to be engaged in at the time. When they are not Hyper Dolls they seem to be just ordinary, rather cute school girls, lusted after by the boys. (Source: ANN)"
Izumo: Takeki Tsurugi no Senki,2523,TV,12,6.2,7685,5047,3209,17,2005-04-03T00:00:00+00:00,2005-06-19T00:00:00+00:00,25 min per ep,"Yagi Takeru has been living in the Touma family's house since his parents are gone. He was raised by Touma Rokunosuke, the head of the house. He is surrounded by many people such as Yamato Takeshi, his best friend-cum-rival from the kendo club, the Shiratori sisters, Kotono and Asuka, and his childhood friend, Oosu Seri. Life has been blissful until one day, an earthquake strikes the school and everything changes. Takeru awakens to find that the school looks as if it has been abandoned for centuries and reduced to ruins. He also realize that all the teachers and students have disappeared as well. He meets up with Seri and Asuka and they fled from the ruins, only to realize that the town they used to live in is completely empty. Subsequently, people wrapped in cloaks appear before him. They were told that they have been brought to another world. (Source: ANN)"
Jungle de Ikou!,2524,OVA,3,5.38,10722,6481,2522,7,1997-03-26T00:00:00+00:00,1997-09-26T00:00:00+00:00,30 min per ep,"After meeting a dancing old man in what she thinks is just a crazy dream, a preteen schoolgirl embarks on a series of fanservice-filled magical girl adventures with a little creature named Ongo who might be evil and a shy girl with mysterious powers named Nami. (Source: ANN)"
Kekkou Kamen,2525,OVA,4,5.66,9883,7099,1774,6,1991-08-01T00:00:00+00:00,1992-03-01T00:00:00+00:00,21 min per ep,"At the academy Miami Takashi attends, higher education has sunk to the lowest levels of depravity, with armed hall monitors, teachers who wear masks to hide their identities and special detention sessions in a torture chamber beneath the gym! It's a curriculum designed to chew up sweet young things, and poor Miami's been voted ""Least Likely to Survive"" in her class! Is there no hope? Can no one save her? Enter Kekko Kamen, the most outrageous superheroine ever! Clad in a red mask, red boots and nothing else, she is the supreme protector of innocents like Miami. Armed with her trusty nunchaku and a body that just won't quit, she'll make chopped pork out of the swine who run this school from hell! But who is she really? The only one who knows for sure is creator Go Nagai and he's not giving anything away... except lots of free peeks at Kekko Kamen's magnificent physique! (Source: AniDB)"
Kirara,2526,OVA,1,6.11,8143,7769,1617,4,2000-09-21T00:00:00+00:00,,39 min,"Twenty-four-year-old Kirara is on her way to her wedding when she is killed in a car accident. However her love for her fiance is so strong that she is permitted to return to earth as a ghost to see him. But she is sent back 8 years in time, to when she and her fiancé first met. However her own meddling in the past may make her 16 year-old-self turn away from her would-be fiance."
Kotetsu no Daibouken,2527,OVA,2,5.81,9357,8723,1039,1,1996-12-13T00:00:00+00:00,1997-01-10T00:00:00+00:00,26 min per ep,"While walking through the streets of Tokyo, Linn Suzuki comes across a strange device sticking up from the sidewalk. Suddenly, she is set upon by thugs and is helped by a beautiful stranger who takes them all down. It seems young Linn has fled Deep Kyoto from her cruel mistress and has traveled to Edo where she hopes to find her long lost brother, who was last seen working for the Kuon Detective Agency. By chance, this stranger happens to be Miho Kuon and lets Linn stay with her (nicknaming her Kotetsu, or Little Tetsu after her brother, Tetsujin). However, a mysterious agency called the Syndicate are after Miho and Linn is now in the thick of things. (Source: ANN)"
Megami Paradise,2528,OVA,2,5.4,10667,8939,771,0,1995-06-07T00:00:00+00:00,1995-08-04T00:00:00+00:00,30 min per ep,"Mama Megami, the mother goddess and ruler of paradise is retiring. Her successor appoints a young mage named Lilith to be one of her guardians. Lilith's first assignment is to recruit two more worthy guardians for the new Mama Megami. Not an easy task, as Stashia, the first candidate on Lilith's short list is not interested. Lilith didn't even have a chance to ask the second person on the list, a warrior named Juliana due to a misunderstanding caused by Stashia's little sister Rurubell. Rurubell wants to be a guardian, but Lilith turned her down due to her very young age and lack of experience. Meanwhile, Paradise is under attack by an evil goddess who wants to dominate it, and it's up to Lilith, Stashia, Rurubell, and Juliana to thwart the attackers. (Source: AniDB)"
Princess Minerva,2529,OVA,1,5.51,10347,10016,628,0,1995-05-01T00:00:00+00:00,,45 min,"Princess Minerva enters a tournament that offers the winner a fortune. But when her bodyguard gets kidnapped by an evil sorceress, things really start to heat up. (Source: ANN)"
G-Taste,2530,OVA,7,5.84,,6174,2192,17,1999-12-18T00:00:00+00:00,2003-04-24T00:00:00+00:00,24 min per ep,"Volume #1: A Taste of Honey (Eps #1-3) Although she tries hard, lovely office worker Moe bungles her assignments more often than not. She'd fare better if she spent more time working and less time playing with the office equipment, but it wouldn't be near as much fun. Nana's so cute in her maid's outfit that it's easy to see why everyone wants a piece of her. And while domineering Mai is used to being the boss, she's going to discover the joys of humiliation. A taste will only leave you wanting more, so obey your sweet tooth. Volume #2: Heat Wave (Eps #4-6) Sayaka is trying to be a prim and proper teacher, but every time she steps in front of a classroom she gets hot... And turning up the air conditioner isn't going bring her temperature down one bit. Misuzu may be a world-class swimmer, but the cold water in the practice pool only heats things up. She's one bathing beauty who doesn't need a sauna to make things steamy. The heat index will soar as these two lovely ladies do their best to set the screen on fire. (Source: AniDB)"
Gibomai,2531,OVA,2,6.62,,6566,2457,20,2002-10-25T00:00:00+00:00,2003-03-28T00:00:00+00:00,28 min per ep,"A renowned painter dies of heart disease while being married with Megumi, a woman much younger than he is. His son, Kyosuke, never liked that union and wants Megumi out of the house. Therefore Megumi proposes that Kyosuke can do anything he wants with her daughter Yuna, Kyosuke's stepsister, if he allows them to stay. Naturally, Kyosuke accepts. (Source: AniDB)"
Onna Kyoushi Yumi no Houkago,2532,OVA,2,5.8,,7833,1156,7,2003-08-08T00:00:00+00:00,2003-11-14T00:00:00+00:00,29 min per ep,"Yumi is a busty, dark haired beauty who knows how to give her students what they want. But unfortunately, she's never been good at getting what she wants and lately everything seems to be going wrong. First she has a nasty break-up with her fiance, and then she's sexually harassed by the Vice-Principal. One thing leads to another... and before she knows it, the VP and some very horny students trap her into a hot and heavy orgy. After ravishing her over and over again, they make her swear to become their secret sex slave. Now, Yumi's only hope is the reluctant Katsutoshi and his perky girlfriend Keiko. But even with their help, it'll be hard for Yumi to escape her bonds of sexual slavery, since everyone seems to be hot for teacher... (Source: AniDB)"
Angelique,2534,OVA,3,6.32,7062,6750,1826,11,2004-03-17T00:00:00+00:00,2005-03-23T00:00:00+00:00,30 min per ep,"Angelique Limoges and Rosalia de Catargena have been chosen as candidates in a Queen Examination - a test to see who is better qualified to be the next Queen of the cosmos. For this special examination, both girls are given their own continent on a planet. The girls must raise the continents into thriving civilizations and environments. Nine Guardians (who control various elements, such as fire, wind, and water) have been chosen to help the girls raise their continents during the Queen Examination. (Source: ANN)"
Angelique: Seichi yori Ai wo Komete,2535,OVA,3,6.18,7763,8725,756,1,2001-01-25T00:00:00+00:00,2001-06-27T00:00:00+00:00,30 min per ep,The queen is collecting some jewels that apparently endanger the whole universe if they fall into the wrong hands. But Zephel screws up and loses one of the jewels. What should he do now?
Angelique: Shiroi Tsubasa no Memoire,2536,OVA,2,5.88,9085,8414,900,4,2000-03-25T00:00:00+00:00,2000-06-27T00:00:00+00:00,30 min per ep,"Angelique... ...started as a dating simulation game for girls back in 1994 on the Super Famicom. The player took on the role of Angelique Limoges, an ordinary schoolgirl summoned to the Sanctuary of the Queen of the Cosmos. She had been chosen to compete in a contest to determine the next Queen. Angelique was clumsy and foolish in comparison to her rival, Rosalia de Cartagena, a refined girl who had been training since birth to compete in the Queen Examination. What was this Examination, anyway? The girls had to use the powers, or Sacrea, of the Queen's nine Guardians to cultivate a barren continent. The girl whose population reached the center island connecting the two continents would become the next Queen. But with the nine handsome Guardians around, it was hard to decide between power or love... Made up of 4 OVAs, each of which has multiple parts. (Source: Neo-Romance)"
Angelique: Twin Collection,2537,OVA,8,6.06,8364,10292,277,1,2002-03-27T00:00:00+00:00,2003-06-25T00:00:00+00:00,30 min per ep,"As the title implies, this series features a pair of characters per episode. Each DVD has one music video for each character, plus one part of an eight part story. Annoyingly, the music videos are for the short versions of the songs, not the full versions... to get those, you had to buy the Twin Collection CDs. (Source: Neo-Romance)"
With You: Mitsumeteitai,2538,OVA,2,5.38,10735,10791,334,1,2000-12-25T00:00:00+00:00,2001-05-25T00:00:00+00:00,28 min per ep,"Based on a H-game with the same title released by Cocktail Soft in 1998, With You: Mitsumeteitai focuses on love triangle between the main characters who were childhood friends. They were separated because one of them had to move to Myanmar (an Asian country formerly known as Burma). After six years, they are re-united again and the story begins... (Source: AniDB)"
Itazura The Animation,2539,OVA,2,6.62,,5965,3213,27,2005-04-08T00:00:00+00:00,2005-07-08T00:00:00+00:00,26 min per ep,"Katsuhiko is a master train pervert. He can pull off a feel, a grab, or even go all the way on a crowded train with girls he's never met. One day he meets a sinister pickpocket named Gin, who provides him with the ultimate target. Katsuhiko moves in on the gorgeous TV anchorwoman with perfect skill, but will he be ready for Gin's well-timed double cross. (Source: ANN)"
Tonari no Oneesan,2540,OVA,2,5.79,,8358,947,5,2000-07-14T00:00:00+00:00,2000-10-13T00:00:00+00:00,32 min per ep,"Could YOU hold out? Haunted by the memory of his ideal woman, Masahiko is determined not to lose his virginity until he finds her again. Too bad his memory sucks and he can't remember who she is. While Masahiko is dreaming of his mystery woman, he may not have a choice in waiting for her much longer! It seems that everyone wants a piece of him lately. At work, his sex-starved boss is looking for a little action while her husband is out of town. At home, a very buxom childhood friend moves in and leaves him drooling. At college, he's become the target of both his professor and a sly sexy student stalker who manages to pop up in the most unusual places! To top everything off, Asuka, one of his neighbors, is secretly harboring her own fantasies about him! With this amount of sexual frustration swirling around him, can he possibly manage to hold out for the girl of his dreams? (Source: Critical Mass Video)"
Dokusen,2541,OVA,2,5.41,,9234,725,7,2002-03-08T00:00:00+00:00,2002-06-07T00:00:00+00:00,29 min per ep,"Kaoru wants Kyoshiro's girlfriend, Tsumugi, for himself. He meets Kyoshiro in a chat room and they make a contract. Kyoshiro and Kaoru will take turns training Tsumugi to be a sex slave, and they'll record their progress on a website. At the deadline, all the site's visitors will vote on which one of them deserves to be Tsumugi's boyfriend. (Source: ANN)"
Lady Georgie,2542,TV,45,7.17,3040,5645,3526,51,1983-04-09T00:00:00+00:00,1984-02-25T00:00:00+00:00,24 min per ep,"An Australian farmer returns home from the woods with a baby named Georgie. The girl lives ignoring the terrible secret hidden in the golden bracelet on her hand. Her ""Father"" and Her ""brothers"", Abel and Arthur, love her dearly, but her ""mother"" considers her an intruder and doesn't manage to open her heart to the girl. Georgie grows up into a beautiful young girl, and both her ""brothers"" are deeply in love with her. Not knowing the truth, Georgie eventually falls in love with the handsome grandson of the British Governor. When Mother finally reveals the truth to her and condemns the girl for being an exile's daughter, Georgie leaves for Britain in search of her real parents - and for her love, who has also left Australia. Abel and Arthur follow her and the three are thrown into the cruel world of London aristocracy, lies and intrigues."
Robin Hood no Daibouken,2543,TV,52,7.1,3362,5999,3376,25,1990-07-29T00:00:00+00:00,1992-10-28T00:00:00+00:00,25 min per ep,"A variant of Robin Hood in which all the principal characters are teenagers. Several centuries ago in Nottingham County, a cruel and greedy baron by the name of Alwine ordered the destruction of the Huntingtons' castle—from the fire of which Robin and his cousins, Will, Winifred and Barbara, miraculously escaped. The youngsters sought shelter in Sherwood Forest, where, thanks to the wise guidance of the hermit better known as ""Friar Tuck,"" they managed to face the difficulties of a life in the wilderness as as well as they could; however, in the forest there lived a fearless group of young bandits, led by Little John. Their first encounter with Robin and his cousins was at first rather stormy, as the two groups fought for the destiny of a young, noble maiden named Marian who had fallen into the hands of the bandits during an ambush. Their bitterness, however, rapidly lead the way to friendship, and Robin and John later realized they were all victims of the same fate. The youngsters thus mutually decided to help one another. Baron Alwine was not merely enemy of the Huntingtons—in fact, a couple years earlier he had forced Little John and his gang to seek protection in the forest to avoid forced labour. He would later seek Marian Lancaster for the secret carved on a cross the girl wore as symbol of her family line. The girl was to be adopted by the shady Bishop Herfort—Alwine's accomplice—who sought to attain the Lancaster's wealth. With all their strength, Robin and his friends were then compelled to fight against the baron's troops, led by Gilbert—a dangerous and fearless knight. When Winifred and Marian were then imprisoned in the castle's dungeons, our heroes tried in every way possible to enter until their ardour was finally rewarded with success. Thanks to his noble heart and heed for danger, Robin became rapidly known as the protector of the poor and oppressed. Beloved and highly esteemed not only by the villagers, but also and especially by the sweet and beautiful Marian he was. The boy who never parted from his loyal, magical bow, endlessly engaged in dangerous and unthinkable missions."
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,2544,TV,50,7.27,2573,6924,2024,17,1981-01-04T00:00:00+00:00,1981-12-27T00:00:00+00:00,24 min per ep,"10-year-old Flone is a very active, tomboyish sort of a girl. One day, her father receives a letter from his English friend who is now in Australia. In the letter, the friend asks her father to come down to Australia because of a serious shortage of doctors. The family decides to leave their old house in Bern. Now their drifting voyage has begun! Flone's fantastic adventures will teach children about the importance of family and the joys of living amidst nature's beauty."
Huckleberry no Bouken,2545,TV,26,6.17,7845,10059,566,1,1976-01-02T00:00:00+00:00,1976-06-25T00:00:00+00:00,25 min per ep,"Based on Mark Twain's well known masterpiece about Huckleberry Finn, the bright and merry orphan, this film is full of life, laughter, and will be loved by children around the world. When Huckleberry runs away from his orphanage, he teams up with an escaped slave. Together, they travel the Mississippi on a raft, encountering all kinds of people and adventures. (Source: AniDB)"
